temperature,hbonds,std,se,96%CI
5.000000000000000000e+00,4.104375000000000107e+00,2.659788231701915584e-01,9.403771475783002931e-02,1.843139209253468469e-01
2.000000000000000000e+01,3.262500000000000178e+00,4.403952769955645219e-01,1.557032433830458085e-01,3.051783570307697868e-01
3.700000000000000000e+01,3.100999999999999979e+00,3.086907837950462752e-01,1.091386732556338113e-01,2.139117995810422557e-01
5.000000000000000000e+01,2.531749999999999723e+00,2.805079098706487750e-01,9.917452262300031907e-02,1.943820643410806293e-01
7.500000000000000000e+01,2.130875000000000075e+00,3.376060712946377107e-01,1.193617711910936741e-01,2.339490715345435845e-01
1.000000000000000000e+02,1.683250000000000135e+00,2.822519929070474443e-01,9.979114909399527944e-02,1.955906522242307488e-01
1.250000000000000000e+02,9.803749999999998854e-01,1.101441527045353003e-01,3.894183864271175827e-02,7.632600373971504260e-02
1.500000000000000000e+02,8.820000000000000062e-01,2.092791198375987261e-01,7.399134239895908960e-02,1.450230311019598262e-01
2.000000000000000000e+02,6.846250000000000391e-01,1.194036614807100494e-01,4.221556936575651675e-02,8.274251595688277006e-02
